section,flow,seizures,pieces,cases
AML/CTF,Cash smuggling,11710,15222,10034
AML/CTF,Gemstones trafficking,41,114,40
AML/CTF,Gold trafficking,510,1052,484
Drugs,Cannabis,37058,22855,34708
Drugs,New Psychoactive Substances,8315,3822,7721
Drugs,Psychotropic substances,18216,14627,16360
Drugs,Opioids and Opiates,2523,2729,2120
Drugs,Cocaine,8074,7596,7613
Drugs,Khat,1084,469,1029
Environmental Crime,Fauna,2705,2636,2323
Environmental Crime,Flora,872,691,838
Environmental Crime,Waste,729,899,604
Environmental Crime,Other hazardous materials,312,291,294
Environmental Crime,ODS & HFCs,185,147,166
"IPR, Health and Safety",IPR products trafficking,74389,72114,35759
"IPR, Health and Safety",Medical products trafficking,8207,8921,6267
Revenue,Alcohol products trafficking,3941,3691,2765
Revenue,Tobacco products trafficking,36803,53629,31571
Security,"Weapons, ammunition and tactical equipment",9910,11468,4639
Security,Unmanned aerial systems (UAS),653,434,653
Security,Explosives and precursors,312,292,232
